x_position,y_position,z_position,ray_tracing_signal,path_loss_signal,difference
12.0,16.0,1.5,-51.10188368127098,-36.10188368127098,-15.0
12.0,18.0,1.5,-49.564409355786694,-34.564409355786694,-15.0
12.0,20.0,1.5,-48.901342263614936,-33.901342263614936,-15.0
12.0,22.0,1.5,-49.564409355786694,-34.564409355786694,-15.0
12.0,24.0,1.5,-51.10188368127098,-36.10188368127098,-15.0
12.0,26.0,1.5,-52.85379534670119,-37.85379534670119,-15.0
12.0,28.0,1.5,-53.7611894141246,-38.7611894141246,-15.0
12.0,30.0,1.5,-54.60869694000908,-39.60869694000908,-15.0
12.0,32.0,1.5,-59.63278692165099,-40.63278692165099,-19.0
12.0,34.0,1.5,-60.70518358177429,-41.70518358177429,-19.0
12.0,36.0,1.5,-61.755187648435424,-42.755187648435424,-19.0
12.0,38.0,1.5,-62.75102082983028,-43.75102082983028,-19.0
12.0,40.0,1.5,-63.68194711833823,-44.68194711833823,-19.0
12.0,42.0,1.5,-64.47313608519212,-45.473136085192124,-19.0
12.0,44.0,1.5,-64.62026472909238,-45.62026472909238,-19.0
12.0,46.0,1.5,-64.85491706148247,-45.85491706148247,-19.0
12.0,48.0,1.5,-69.16348676831916,-46.16348676831916,-23.0
12.0,50.0,1.5,-69.5304991990055,-46.530499199005504,-23.0
12.0,52.0,1.5,-69.94064735383103,-46.940647353831025,-23.0
12.0,54.0,1.5,-70.3801725897849,-47.380172589784905,-23.0
12.0,56.0,1.5,-70.83754652152277,-47.83754652152277,-23.0
12.0,58.0,1.5,-71.30361450851785,-48.30361450851785,-23.0
12.0,60.0,1.5,-71.77141326741975,-48.771413267419746,-23.0
12.0,62.0,1.5,-72.23583927977211,-49.23583927977211,-23.0
12.0,64.0,1.5,-72.69328309541916,-49.69328309541916,-23.0
12.0,66.0,1.5,-73.14129086868519,-50.14129086868519,-23.0
12.0,68.0,1.5,-73.52405126181426,-50.524051261814265,-23.0
12.0,70.0,1.5,-73.8829757473614,-50.8829757473614,-23.0
12.0,72.0,1.5,-74.24100469113674,-51.24100469113674,-23.0
12.0,74.0,1.5,-74.59618140849483,-51.59618140849483,-23.0
12.0,76.0,1.5,-74.94702196060388,-51.94702196060388,-23.0
12.0,78.0,1.5,-75.2924279103143,-52.2924279103143,-23.0
12.0,80.0,1.5,-75.63161039575814,-52.631610395758145,-23.0
12.0,82.0,1.5,-75.96402604052366,-52.96402604052366,-23.0
12.0,84.0,1.5,-76.22702128882662,-53.22702128882662,-23.0
12.0,86.0,1.5,-76.431312675486,-53.431312675486,-23.0
12.0,88.0,1.5,-76.6416611700702,-53.64166117007019,-23.0
12.0,90.0,1.5,-76.85678961787315,-53.85678961787315,-23.0
12.0,92.0,1.5,-77.07554848354962,-54.075548483549625,-23.0
12.0,94.0,1.5,-77.29691430817599,-54.296914308175985,-23.0
12.0,96.0,1.5,-77.51998480527897,-54.519984805278966,-23.0
12.0,98.0,1.5,-77.74397167149402,-54.74397167149402,-23.0
12.0,100.0,1.5,-77.96819199593853,-54.968191995938525,-23.0
14.0,0.0,1.5,-69.45157923390448,-46.45157923390448,-23.0
14.0,2.0,1.5,-64.62026472909238,-45.62026472909238,-19.0
14.0,4.0,1.5,-63.71177003257088,-44.71177003257088,-19.0
14.0,6.0,1.5,-62.71378206088892,-43.71378206088892,-19.0
14.0,8.0,1.5,-61.61297756814679,-42.61297756814679,-19.0
14.0,10.0,1.5,-60.39758994371891,-41.39758994371891,-19.0
14.0,12.0,1.5,-59.065068647154305,-40.065068647154305,-19.0
14.0,14.0,1.5,-53.64260334851798,-38.64260334851798,-15.0
14.0,16.0,1.5,-52.23508778206303,-37.23508778206303,-15.0
14.0,18.0,1.5,-51.10188368127098,-36.10188368127098,-15.0
14.0,20.0,1.5,-50.64730494330223,-35.64730494330223,-15.0
14.0,22.0,1.5,-51.10188368127098,-36.10188368127098,-15.0
14.0,24.0,1.5,-52.23508778206303,-37.23508778206303,-15.0
14.0,26.0,1.5,-52.70718413121267,-37.70718413121267,-15.0
14.0,28.0,1.5,-53.26608366032056,-38.26608366032056,-15.0
14.0,30.0,1.5,-54.20558390045224,-39.20558390045224,-15.0
14.0,32.0,1.5,-59.31751422145561,-40.31751422145561,-19.0
14.0,34.0,1.5,-60.46087623399947,-41.46087623399947,-19.0
14.0,36.0,1.5,-61.56452021947115,-42.56452021947115,-19.0
14.0,38.0,1.5,-62.60011071300454,-43.60011071300454,-19.0
14.0,40.0,1.5,-63.467247701163785,-44.467247701163785,-19.0
14.0,42.0,1.5,-63.529681046902226,-44.529681046902226,-19.0
14.0,44.0,1.5,-63.71177003257088,-44.71177003257088,-19.0
14.0,46.0,1.5,-63.99924930469385,-44.99924930469385,-19.0
14.0,48.0,1.5,-64.37220617298584,-45.37220617298584,-19.0
14.0,50.0,1.5,-64.80898992025112,-45.80898992025112,-19.0
14.0,52.0,1.5,-69.2893020553472,-46.28930205534721,-23.0
14.0,54.0,1.5,-69.79594450017083,-46.79594450017083,-23.0
14.0,56.0,1.5,-70.31538153533572,-47.31538153533572,-23.0
14.0,58.0,1.5,-70.83754652152277,-47.83754652152277,-23.0
14.0,60.0,1.5,-71.35529761537839,-48.35529761537839,-23.0
14.0,62.0,1.5,-71.86378912239383,-48.863789122393825,-23.0
14.0,64.0,1.5,-72.3598949332414,-49.35989493324141,-23.0
14.0,66.0,1.5,-72.77741056508333,-49.77741056508333,-23.0
14.0,68.0,1.5,-73.16675653550709,-50.16675653550709,-23.0
14.0,70.0,1.5,-73.55512097496901,-50.555120974969014,-23.0
14.0,72.0,1.5,-73.94001503811216,-50.940015038112165,-23.0
14.0,74.0,1.5,-74.31959735478682,-51.31959735478682,-23.0
14.0,76.0,1.5,-74.69254468525264,-51.69254468525264,-23.0
